Title,Subject,Audience,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value","Ecomm360 - Orders","Ecomm360 - Total Tax","Ecomm360 - Shipping Total","Ecomm360 - Revenue Total"
"Welcome to Sugarboy's Headlines","Purple Reigns","Sugarboy's Headlines","Feb 13, 2015 02:38 pm",Friday,86,84,1,1,2,0,0,29,34.52%,49,4,4.76%,4,0,0,0,0,52fad28b77,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Mother's Day Special","Sugaboy's wants to appreciate all of those moms out there","Sugarboy's Headlines","May 08, 2015 09:47 am",Friday,88,85,1,2,3,0,0,39,45.88%,50,0,0.00%,0,3,1,0,0,9e2acef8a0,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"June Specials","June is Adopt a Cat Month","Sugarboy's Headlines","Jun 01, 2015 08:00 am",Monday,118,117,1,0,1,0,0,31,26.50%,91,0,0.00%,0,2,0,0,0,c9074a8ba7,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Veteran's Day Email","Honoring our veterans and their service dogs","Sugarboy's Headlines","Nov 11, 2015 10:51 am",Wednesday,168,165,1,2,3,0,0,46,27.88%,89,5,3.03%,13,5,2,0,0,fdef0f30a6,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Veteran's Day Email *WORKING LINKS*","Honoring our veterans and their service dogs ","Sugarboy's Headlines","Nov 11, 2015 02:16 pm",Wednesday,162,161,1,0,1,0,0,35,21.74%,84,3,1.86%,5,1,0,0,0,6705316e58,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Customer Appreciation","20% off any purchase in 2016","Sugarboy's Headlines","Dec 01, 2015 06:00 am",Tuesday,177,175,1,1,2,0,0,29,16.57%,64,5,2.86%,7,1,0,0,0,5549a35db8,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Celebrate,"Invited to Celebrate","Sugarboy's News","Feb 21, 2016 11:45 pm",Sunday,265,263,0,2,2,0,0,133,50.57%,311,51,19.39%,68,6,0,0,0,f50a053ecf,3,250.75,238,0.00%,$0.43,$0.00,109,44,12.211009174312,0.00%,07:02,0.00%,$0.00,0,0.00%,$0.00,$0.00,n/a,n/a,n/a,n/a
"Animal Print Poufs","A new season, new prints","Sugarboy's News","May 01, 2016 12:00 am",Sunday,285,284,1,0,1,0,0,120,42.25%,210,22,7.75%,28,5,0,0,0,ec9bdfd439,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Poni's Turning 18! (copy 01)","Special day, special kitty and special celebration","Sugarboy's News","Jul 01, 2016 12:00 am",Friday,302,299,0,3,3,0,0,119,39.80%,273,41,13.71%,58,3,0,0,0,26f07ad9b4,4,173.99,147,0.00%,$0.49,$0.00,64,32,7.34375,0.00%,02:51,0.00%,$0.00,0,0.00%,$0.00,$0.00,n/a,n/a,n/a,n/a
"Holiday 2016","The Holidays Have Arrived","Sugarboy's News","Nov 23, 2016 05:00 pm",Wednesday,378,373,1,4,5,0,0,157,42.09%,293,38,10.19%,47,6,1,0,0,410bbfb5a5,3,193.61,184.2,0.00%,$0.61,$0.00,54,37,10.962962962963,0.00%,04:13,0.00%,$0.00,0,0.00%,$0.00,$0.00,n/a,n/a,n/a,n/a
"Holiday Rush","FREE PRIORITY SHIPPING","Sugarboy's News","Dec 17, 2016 12:59 pm",Saturday,349,348,1,0,1,0,0,116,33.33%,211,28,8.05%,39,9,0,0,0,f4696f4b5d,4,69.05,28.87,0.00%,$0.56,$0.00,37,26,7.5135135135135,0.00%,01:48,0.00%,$0.00,0,0.00%,$0.00,$0.00,n/a,n/a,n/a,n/a
"Sugarboy's News June 2017","June is Cat and Kitten Month","Sugarboy's News","Jun 04, 2017 06:00 pm",Sunday,503,499,1,3,4,0,0,198,39.68%,319,26,5.21%,29,4,1,0,0,fa1384047e,3,90.61,69.45,0.00%,$0.81,$0.00,73,19,12.095890410959,0.00%,010:05,0.00%,$0.00,0,0.00%,$0.00,$0.00,n/a,n/a,n/a,n/a
"Sugarboy's News July 2017","Whose a Good Dog?","Sugarboy's News","Jul 01, 2017 12:00 pm",Saturday,503,501,1,1,2,0,0,123,24.55%,170,13,2.59%,16,5,0,0,0,cebf45f8f7,0,0,0,0.00%,$0.81,$0.00,64,11,7.375,0.00%,03:45,0.00%,$0.00,0,0.00%,$0.00,$0.00,n/a,n/a,n/a,n/a
"July Deals are Going Fast!","Don't Miss out on the Last of our Lollycadoodle Toys","Sugarboy's News","Jul 21, 2017 05:00 pm",Friday,17,17,0,0,0,0,0,11,64.71%,14,0,0.00%,0,0,0,0,0,ebb5b4c394,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Sugarboy's News August 2017","Introducing New Toys to Our Collection","Sugarboy's News","Aug 01, 2017 01:00 pm",Tuesday,518,516,2,0,2,0,0,178,34.50%,296,18,3.49%,42,11,1,0,0,5adaa82a2b,0,0,0,0.00%,$0.83,$0.00,34,13,5.8823529411765,0.00%,01:16,0.00%,$0.00,0,0.00%,$0.00,$0.00,n/a,n/a,n/a,n/a
"Sugarboy's News September 2017","We've Restocked!","Sugarboy's News","Sep 02, 2017 10:00 am",Saturday,519,517,2,0,2,0,0,163,31.53%,250,16,3.09%,21,4,0,0,0,2b78de8560,2,62.5,51,0.00%,$0.84,$0.00,23,11,11.260869565217,0.00%,03:35,0.00%,$0.00,0,0.00%,$0.00,$0.00,n/a,n/a,n/a,n/a
